Designator,Mid X,Mid Y,Layer,Rotation
C1,15.08, 9.50,Top,180.0
C2, 8.95, 5.18,Top,270.0
C3, 7.93,22.03,Top,90.0
C4,12.92, 9.50,Top,180.0
C6,19.35, 2.13,Top,0.0
D1, 8.08,12.50,Top,270.0
D2,19.46, 5.24,Top,90.0
D3,20.88, 8.87,Top,0.0
D4, 7.50,19.97,Top,0.0
FB1,19.35, 3.20,Top,0.0
IC1,14.00,12.50,Top,180.0
IC2,13.49, 4.43,Top,270.0
JD1, 0.00,12.50,Top,90.0
JD2,28.00,12.50,Top,270.0
R1,14.00,16.00,Top,180.0
R2,16.15,16.00,Top,0.0
R3,20.27, 7.26,Top,0.0
R4,11.85,16.00,Top,180.0
R5, 7.54,14.94,Top,270.0
R6, 8.03,10.66,Top,0.0
R8, 8.61,14.94,Top,270.0
U1,10.06,22.02,Top,90.0
